은행코드,은행명,상품코드,상품명,상품일련번호,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,통장거치식_신규가입금액_단위,적립식_월부금_단위,상품개요_설명,신규채널,해지채널,상품그룹코드,상품그룹명,예금입출금방식,만기여부,이자지급방법,이자계산방법,적립식_부금납입방식,적립식_부금납입주기,적립식_부금금액한도_여부,적립식_부금금액한도_조건,가입대상고객_조건여부,가입대상고객_조건,가입제한_조건여부,가입제한_조건,기본금리,예금자보호대상여부,판매한도금액,만기후이율,중도해지이율,세제혜택_비과세종합저축_여부,세제혜택_비과세종합저축_조건,회전식_정기예금_여부,회전식_정기예금_회전주기_개월수,기타_상품가입_고려사항,추가내용,우대금리조건여부,우대금리조건_개수,최대우대금리,우대금리조건_고객예금실적_여부,우대금리조건_고객예금실적_조건,우대금리조건_고객예금실적_우대금리,우대금리조건_우수고객우대제도_여부,우대금리조건_우수고객우대제도_조건,우대금리조건_우수고객우대제도_우대금리,우대금리조건_가입금액우대_여부,우대금리조건_가입금액우대_조건,우대금리조건_가입금액우대_우대금리,우대금리조건_아파트관리비이체_여부,우대금리조건_아파트관리비이체_조건,우대금리조건_아파트관리비이체_우대금리,우대금리조건_공과금이체_여부,우대금리조건_공과금이체_조건,우대금리조건_공과금이체_우대금리,우대금리조건_급여이체_여부,우대금리조건_급여이체_조건,우대금리조건_급여이체_우대금리,우대금리조건_예금자동이체_여부,우대금리조건_예금자동이체_여부_조건,우대금리조건_예금자동이체_우대금리,우대금리조건_보험료자동이체_여부,우대금리조건_보험료자동이체_여부_조건,우대금리조건_보험료자동이체_우대금리,우대금리조건_연금자동이체_여부,우대금리조건_연금자동이체_여부_조건,우대금리조건_연금자동이체_우대금리,우대금리조건_신용카드가맹점결제계좌_여부,우대금리조건_신용카드가맹점결제계좌_조건,우대금리조건_신용카드가맹점결제계좌_우대금리,우대금리조건_신용카드결제계좌_여부,우대금리조건_신용카드결제계좌_조건,우대금리조건_신용카드결제계좌_우대금리,우대금리조건_신용카드사용금액_여부,우대금리조건_신용카드사용금액_조건,우대금리조건_신용카드사용금액_우대금리,우대금리조건_체크카드연계_여부,우대금리조건_체크카드연계_조건,우대금리조건_체크카드연계_우대금리,우대금리조건_제휴카드연계_여부,우대금리조건_제휴카드연계_조건,우대금리조건_제휴카드연계_우대금리,우대금리조건_재유치_여부,우대금리조건_재유치_조건,우대금리조건_재유치_우대금리,우대금리조건_카드사용실적_여부,우대금리조건_카드사용실적_조건,우대금리조건_카드사용실적_우대금리,우대금리조건_퇴직금예치_여부,우대금리조건_퇴직금예치_조건,우대금리조건_퇴직금예치_우대금리,우대금리조건_고객특성우대_여부,우대금리조건_고객특성우대_조건,우대금리조건_고객특성우대_우대금리,우대금리조건_장병우대_여부,우대금리조건_장병우대_조건,우대금리조건_장병우대_우대금리,우대금리조건_농어민우대_여부,우대금리조건_농어민우대_조건,우대금리조건_농어민우대_우대금리,우대금리조건_어린이우대_여부,우대금리조건_어린이우대_조건,우대금리조건_어린이우대_우대금리,우대금리조건_학생우대_여부,우대금리조건_학생우대_조건,우대금리조건_학생우대_우대금리,우대금리조건_첫거래우대_여부,우대금리조건_첫거래우대_조건,우대금리조건_첫거래우대_우대금리,우대금리조건_고객연령우대_여부,우대금리조건_고객연령우대_조건,우대금리조건_고객연령우대_우대금리,우대금리조건_비대면채널_여부,우대금리조건_비대면채널_조건,우대금리조건_비대면채널_우대금리,우대금리조건_인터넷뱅킹_여부,우대금리조건_인터넷뱅킹_조건,우대금리조건_인터넷뱅킹_우대금리,우대금리조건_모바일뱅킹_여부,우대금리조건_모바일뱅킹_조건,우대금리조건_모바일뱅킹_우대금리,우대금리조건_모바일앱_여부,우대금리조건_모바일앱_조건,우대금리조건_모바일앱_우대금리,우대금리조건_오픈뱅킹_여부,우대금리조건_오픈뱅킹_조건,우대금리조건_오픈뱅킹_우대금리,우대금리조건_마이데이터_여부,우대금리조건_마이데이터_조건,우대금리조건_마이데이터_우대금리,우대금리조건_상품미보유_여부,우대금리조건_상품미보유_조건,우대금리조건_상품미보유_우대금리,우대금리조건_만기금액우대_여부,우대금리조건_만기금액우대_조건,우대금리조건_만기금액우대_우대금리,우대금리조건_마케팅활용동의_여부,우대금리조건_마케팅활용동의_조건,우대금리조건_마케팅활용동의_우대금리,우대금리조건_위치인증_여부,우대금리조건_위치인증_조건,우대금리조건_위치인증_우대금리,우대금리조건_기타1_여부,우대금리조건_기타1_조건,우대금리조건_기타1_우대금리,우대금리조건_기타2_여부,우대금리조건_기타2_조건,우대금리조건_기타2_우대금리,우대금리조건_기타3_여부,우대금리조건_기타3_조건,우대금리조건_기타3_우대금리,우대금리조건_기타4_여부,우대금리조건_기타4_조건,우대금리조건_기타4_우대금리,우대금리조건_기타5_여부,우대금리조건_기타5_조건,우대금리조건_기타5_우대금리
071,우체국,071-00033,우체국 하도급지킴이통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,"조달청에서 운영하는 “정부계약 하도급관리시스템”을 통해 발주한 공사 대금 및 입금이 하도급자와 근로자에게 기간 내 집행될 수 있도록 관리, 감독하기 위한",1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,"법인 및 사업자등록증을 소지한 개인사업자, 고유번호(또는 납세번호)를 
부여받은 단체",없음,,0.1,Y,,해당사항없음,해당사항없음,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071,우체국,071-00034,우체국 희망지킴이통장,1,제한없음,제한없음,0원,0원,0원,제한없음,"산업재해 보험급여 수급권자의 보험급여에 한해 입금이 가능하며, 관련 법에 따라 압류 대상에서 제외하는 압류금지 전용통장",1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,실명의 개인으로 산업재해보험급여 수급자 (1인 1계좌),없음,,0.1,Y,,해당사항없음,해당사항없음,N,,,,,"입금은 법령에 따라 가입대상자에게 지급되는 압류금지 수급금 등에 한하며, 그 외에는 입금이 제한됨 (예금주 본인 입금도 제한)",Y,1.0,0.1,Y,이자계산기간 중 평균잔액 기준에 따른 차등이자율 적용,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00001,웰뱅모두페이통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,조건 충족시 우대금리를 적용하는 입출금이 자유로운 예금,3:스마트뱅킹,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,실명의 개인(1인1계좌),없음,,0.7,Y,,해당사항없음,해당사항없음,N,,,,,,Y,2.0,2.5,Y,"예치금 잔액 50만원 초과 시   
",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"당월 이 예금을 연결하여 이용한  간편결제
 거래실적이 10만원 이상",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00002,WELCOME 직장인 사랑 보통예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,조건 충족시우대금리를 적용하는 입출금이 자유로운 예금,"1:영업점,2:인터넷뱅킹,3:스마트뱅킹","1:영업점,2:인터넷뱅킹,3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,만 19세 이상 개인(1인1계좌),없음,,1.7,Y,,해당사항없음,해당사항없음,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, 
? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상",,,,,Y,3.0,1.5,,,,,,,,,,,,,Y,CMS 또는 지로 자동납부 1건 이상,0.5,Y,당월 1백만원 이상 급여이체 실적,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,당월 개인정보 수집·이용 동의(마케팅) 및 멤버십 가입·이용 동의,0.5,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00003,WELCOME 비대면 보통예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,예치잔액에 따라 차등금리가 적용되는 입출금이 자유로운 예금,"2:인터넷뱅킹,3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,실명의 개인(1인 1계좌),없음,,0.5,Y,,해당사항없음,해당사항없음,N,,,,,,Y,1.0,0.8,Y,"잔액구간 5,000만원 이하",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,푸른저축,A22-00009,보통예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,"단 하루민 맡기셔도 높은 이자를 드리는 가입대상,예치금액,예치기간에 제한없이 입출금이 자유로운 예금상품입니다","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,없음,,없음,,1.0,Y,,해당사항없음,해당사항없음,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00007,WELCOME 기업자유예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,예치잔액에 따라 우대금리가 적용되는 사업자 전용 입출금이 자유로운 예금,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,사업자등록증을 소지하고 사업장을 정상 운영 중인 개인사업자 및 법인,없음,,0.5,Y,,해당사항없음,해당사항없음,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,1.0,0.7,Y,"조건1) 예치금 잔액 1천만원 초과 ~ 3천만원 이하: 0.1%
조건2) 예치금 잔액 3천만원 초과 ~ 5천만원 이하 :0.2%
조건3) 예치금 잔액 5천만원 초과 ~ 10억원 이하  : 0.3%
조건4) 예치금 잔액 10억원 초과                       : 0.7%",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00008,WELCOME 기업보통예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,사업자전용 입출금이 자유로운 예금,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,사업자등록증을 소지하고 사업장을 정상 운영 중인 개인사업자 및 법인,없음,,0.01,Y,,해당사항없음,해당사항없음,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00009,웰뱅든든 적금,1,12개월,12개월,제한없음,제한없음,제한없음,1만원이상,신용평점에따라 우대금리를 제공하는 적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,30만원이하,있음,만 19세 이상 개인,없음,,2.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,4.0,,,,,,,Y,당행에 최초 개설한 예·적금 가입일로부터 30일내 이 적금 가입 시,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"적금 가입 시점 조회된 예금주본인의 신용평점에 따라 우대금리 적용 
    850점이하~650점초과 :1.00%
      650점이하~350점초과 : 2.00%
      350점이하~1점이상    : 3.00%",,,,,,,,,,,,,
A17,웰컴저축은행,A17-00010,웰뱅하자 정기적금,1,12개월,12개월,제한없음,제한없음,제한없음,1만원이상,자동납부 또는 입출금통장 평잔 실적에 따라 우대금리를 제공하는 적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,20만원이하,있음,실명의 개인,없음,,2.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,3.5,Y,입출금통장 평잔 50만원 이상,1.5,,,,,,,,,,Y,입출금통장에서 CMS 또는 지로 자동납부 월 2건 이상 출금 실적 6개월 이상,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F05,오투저축은행,F05-00004,e-정기예금,2,6개월이상,12개월미만,10만원이상,제한없음,10만원이상,제한없음,일정기간 동안 목돈을 예치하고 매월 이자를 지급 받는 거치식 상품,2:인터넷뱅킹,2:인터넷뱅킹,1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,3.5,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"만65세 이상의 거주자,장애인복지법에 의하여 독립유공자와 그 유족 또는 국가유공자증에 의한 상이자,기초생활보장수급자
고엽제후유증환자,5.18민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00011,웰뱅 워킹 적금,1,12개월,12개월,제한없음,제한없음,제한없음,월1만원이상,상품가입기간 내 걸음수에 따라 우대금리를 지급받을 수 있는 적립식 상품,"2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,20만원이하,있음,실명의 개인(1인1계좌),없음,,1.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,9.0,,,,,,,,,,,,,,,,,,,Y,Y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"1) 연간 걸음수 달성 여부에 따른 우대금리 적용
 (신규일 ~ 계약상 만기일 전일까지)
1백만보 이상 1.00%p
2백만보 이상 3.00%p
3백만보 이상 4.00%p
4백만보 이상 6.00%p
5백만보 이상 8.00%p
",,,,,,,,,,,,,
A17,웰컴저축은행,A17-00012,웰뱅 잔돈자동적금,1,12개월,12개월,제한없음,제한없음,제한없음,1원이상,잔돈을 잔돈적립서비스에 따라 자동으로 적립하고 잔돈적립서비스 이용 충족에 따라 우대금리를 받는 자유적립식 상품,3:스마트뱅킹,"1:영업점, 2:인터넷뱅킹,3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,2백만원 (2회차 이후부터 월중 입금 합계액은 20만원 초과 불가),있음,실명의 개인( 1인 1계좌),없음,,1.5,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,N,,,,,,Y,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,카드 잔돈 적립 6회 이상,,Y,주간 잔돈 적립 6회 이상,1.0,Y,타행 잔돈 적립 6회 이상,1.0,,,,,,
A17,웰컴저축은행,A17-00013,WELCOME 체크플러스2 m 정기적금,1,12개월이상,24개월미만,제한없음,제한없음,제한없음,월10만원이상,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 없음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,50만원이하,있음,실명의 개인 (1인 1계좌),없음,,2.8,Y,,"신규 가입 당시 영업점 및 인터넷 홈페이지에 고시된 경과기간별 만기후금리 적용
1개월이하 -가입 당시 약정금리나 만기시점 동일상품·계약기간(없을 시, 가입 당시 약정금리) 신규 약정금리 중 낮은 금리
1개월 초과- 가입 당시 영업점 및 인터넷 홈페이지에 고시된 만기 후 1개월 초과 시 금리","신규가입 당시 영업점 및 인터넷 홈페이지에 고시된 예치기간에 따른 중도해지금리 적용
예치기간 중도해지금리
약정기간의 80% 이상 약정금리의 90%
약정기간의 60% 이상 약정금리의 70%
약정기간의 40% 이상 약정금리의 50%
약정기간의 20% 이상 약정금리의 30%
약정기간의 20% 미만 약정금리의 10%
계약일로부터 1개월 미만 0.1%
전구간 0.1% 보장",Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"1) 월평균 체크카드 이용실적 10만원 이상 30만원 미만 : 1.40%
2) 월평균 체크카드 이용실적 30만원 이상 50만원 미만 : 1.80%
3) 월평균 체크카드 이용실적 50만원 이상                  : 2.20%",2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"12개월 이상 인터넷뱅킹, 모바일뱅킹으로 가입 시",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00013,WELCOME 체크플러스2 m 정기적금,2,24개월,24개월,제한없음,제한없음,제한없음,월10만원이상,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,50만원이하,있음,실명의 개인,없음,,3.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"1) 월평균 체크카드 이용실적 10만원 이상 30만원 미만 : 1.40%
2) 월평균 체크카드 이용실적 30만원 이상 50만원 미만 : 1.80%
3) 월평균 체크카드 이용실적 50만원 이상                  : 2.20%",2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"12개월 이상 인터넷뱅킹, 모바일뱅킹으로 가입 시",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,푸른저축,A22-00008,자유적립예금,1,1개월이상,3개월미만,제한없음,제한없음,제한없음,"1,000원이상",일정한기간을 정하고 금액및 회수에 제한없이 자유롭게 저축하여 만기시에 월복리로 계산된 이자와 원금을 받으시는 편리한 상품입니다,"1:영업점, 2:인터넷뱅킹","1:영업점, 2:인터넷뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,2:복리,2:자유적립식,3:자유적립식,없음,,없음,,없음,,3.2,Y,,만기후 보통예금 금리에 연동,매회납입액 별로 정기예금 해당기간 중도 해지금리,Y,"조세특례제한법에 의거 일정요건을 갖춘 만65세이상 거주자,장애우,국가유공자등 5,000만원",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00023,자유 적립 예금,4,24개월이상,36개월미만,제한없음,제한없음,제한없음,1천원이상,"금액 및 횟수 제한 없이 자유롭게 납입하고, 만기 시 월복리로 이자가 계산되는 자유적립식 예금",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,2:복리,2:자유적립식,3:자유적립식,없음,,없음,,없음,,3.5,Y,,만기후금리 : 연 0.5% (가입시점 보통예금 금리),"만기 이전 해지할 경우 계약한 금리보다 낮은 중도해지금리 적용
12개월 미만 0.50%
12개월 이상 1.00",Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00015,WELCOME 첫거래 우대 m 정기적금,1,12개월,12개월,제한없음,제한없음,제한없음,월1만원 이상,웰컴 예·적금(입출금이 자유로운 예금 포함) 첫거래 고객을 위한 적립식 상품,"2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,20만원이하,있음,당행 예·적금(입출금이 자유로운 예금 포함) 첫거래 개인 (당행 예·적금 가입이력이 없는 고객의 예·적금 최초 개설을 의미),없음,,3.7,Y,,"신규 가입 당시 영업점 및 인터넷 홈페이지에 고시된 경과기간별 만기후금리 적용
1개월이하 -가입 당시 약정금리나 만기시점 동일상품·계약기간(없을 시, 가입 당시 약정금리) 신규 약정금리 중 낮은 금리
1개월 초과- 가입 당시 영업점 및 인터넷 홈페이지에 고시된 만기 후 1개월 초과 시 금리","신규가입 당시 영업점 및 인터넷 홈페이지에 고시된 예치기간에 따른 중도해지금리 적용
예치기간 중도해지금리
약정기간의 80% 이상 약정금리의 90%
약정기간의 60% 이상 약정금리의 70%
약정기간의 40% 이상 약정금리의 50%
약정기간의 20% 이상 약정금리의 30%
약정기간의 20% 미만 약정금리의 10%
계약일로부터 1개월 미만 0.1%
전구간 0.1% 보장",Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, 
? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,3.3,Y,신규일부터 계약상 만기일 전일까지의 입출금통장 평잔 50만원 이상,1.5,,,,,,,,,,,,,,,,Y,Y,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00017,WELCOME 잔돈모아 올림 적금,1,12개월,12개월,제한없음,제한없음,제한없음,1천원이상,"입출금계좌의 잔돈을 적립하고, 만기 시 만원 단위로 수령할 수 있는 자유적립식 상품",3:스마트뱅킹,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,5백만원 범위 내 가입자가 설정,있음,실명의 개인(1인 1계좌),없음,,2.8,Y,,"신규 가입 당시 영업점 및 인터넷 홈페이지에 고시된 경과기간별 만기후금리 적용
1개월이하 -가입 당시 약정금리나 만기시점 동일상품·계약기간(없을 시, 가입 당시 약정금리) 신규 약정금리 중 낮은 금리
1개월 초과- 가입 당시 영업점 및 인터넷 홈페이지에 고시된 만기 후 1개월 초과 시 금리","신규가입 당시 영업점 및 인터넷 홈페이지에 고시된 예치기간에 따른 중도해지금리 적용
예치기간 중도해지금리
약정기간의 80% 이상 약정금리의 90%
약정기간의 60% 이상 약정금리의 70%
약정기간의 40% 이상 약정금리의 50%
약정기간의 20% 이상 약정금리의 30%
약정기간의 20% 미만 약정금리의 10%
계약일로부터 1개월 미만 0.1%
전구간 0.1% 보장",Y,": 만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, ? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
